ITEM_ID,ITEM_NAME,COST
0,Classic Milk Tea,5.80
1,Coffee Milk Tea,6.25
2,Hokkaido Milk Tea,6.25
3,Thai Milk Tea,6.25
4,Black Milk Tea,6.25
5,Coconut Pearl Milk Tea,6.75
6,Taro Milk Tea,6.25
7,Matcha Milk Tea,6.50
8,Honey Milk Tea,6.25
9,Oolong Milk Tea,6.25
10,Almond Milk Tea,6.25
11,Strawberry Matcha Cream,6.50
12,Mango Matcha Cream,6.50
13,Peach Matcha Cream,6.50
14,Matcha Lemonade,5.25
15,Taro Slush,6.00
16,Strawberry Milk Slush,6.00
17,Mango Green Tea,5.80
18,Passion Fruit Green Tea,5.80
19,Peach Green Tea,5.80
